DateTime,mm
18/3/2017 00:00,0
19/3/2017 00:00,0
20/3/2017 00:00,6.3
21/3/2017 00:00,0
22/3/2017 00:00,4.3
23/3/2017 00:00,1
24/3/2017 00:00,0
25/3/2017 00:00,0
27/3/2017 00:00,0
28/3/2017 00:00,3.2
29/3/2017 00:00,0
30/3/2017 00:00,0
31/3/2017 00:00,0
1/4/2017 00:00,1
2/4/2017 00:00,0
3/4/2017 00:00,0
4/4/2017 00:00,0
5/4/2017 00:00,0
6/4/2017 00:00,0
7/4/2017 00:00,0
8/4/2017 00:00,0
9/4/2017 00:00,0
10/4/2017 00:00,0
11/4/2017 00:00,0
12/4/2017 00:00,0
13/4/2017 00:00,0
14/4/2017 00:00,0
15/4/2017 00:00,0
16/4/2017 00:00,0
17/4/2017 00:00,0
18/4/2017 00:00,0
19/4/2017 00:00,0
20/4/2017 00:00,1.1
21/4/2017 00:00,0
22/4/2017 00:00,0
23/4/2017 00:00,0
24/4/2017 00:00,0
25/4/2017 00:00,2.1
26/4/2017 00:00,0
27/4/2017 00:00,0
28/4/2017 00:00,0
29/4/2017 00:00,0
30/4/2017 00:00,3.1
1/5/2017 00:00,3.2
2/5/2017 00:00,0
3/5/2017 00:00,0
4/5/2017 00:00,0
5/5/2017 00:00,0
6/5/2017 00:00,0
7/5/2017 00:00,0
8/5/2017 00:00,0
9/5/2017 00:00,0
10/5/2017 00:00,0
11/5/2017 00:00,2.1
12/5/2017 00:00,9.5
13/5/2017 00:00,1
14/5/2017 00:00,5.3
15/5/2017 00:00,1.1
16/5/2017 00:00,0
17/5/2017 00:00,0
18/5/2017 00:00,0
19/5/2017 00:00,0
20/5/2017 00:00,1
21/5/2017 00:00,0
22/5/2017 00:00,0
23/5/2017 00:00,0
24/5/2017 00:00,0
25/5/2017 00:00,0
26/5/2017 00:00,0
27/5/2017 00:00,2.1
28/5/2017 00:00,0
29/5/2017 00:00,16.9
30/5/2017 00:00,0
31/5/2017 00:00,0
1/6/2017 00:00,0
2/6/2017 00:00,1
3/6/2017 00:00,0
4/6/2017 00:00,2.1
5/6/2017 00:00,13.7
6/6/2017 00:00,5.3
7/6/2017 00:00,0
8/6/2017 00:00,5.2
9/6/2017 00:00,0
10/6/2017 00:00,2.1
11/6/2017 00:00,1.1
12/6/2017 00:00,0
13/6/2017 00:00,0
14/6/2017 00:00,0
15/6/2017 00:00,0
16/6/2017 00:00,0
17/6/2017 00:00,0
18/6/2017 00:00,0
19/6/2017 00:00,0
20/6/2017 00:00,0
21/6/2017 00:00,0
22/6/2017 00:00,0
23/6/2017 00:00,0
24/6/2017 00:00,0
25/6/2017 00:00,1
26/6/2017 00:00,0
27/6/2017 00:00,1.1
28/6/2017 00:00,8.4
29/6/2017 00:00,4.2
30/6/2017 00:00,0
1/7/2017 00:00,0
2/7/2017 00:00,0
3/7/2017 00:00,0
4/7/2017 00:00,1.1
5/7/2017 00:00,0
6/7/2017 00:00,0
7/7/2017 00:00,0
8/7/2017 00:00,0
9/7/2017 00:00,0
10/7/2017 00:00,0
11/7/2017 00:00,13.7
12/7/2017 00:00,3.1
13/7/2017 00:00,0
14/7/2017 00:00,0
15/7/2017 00:00,0
16/7/2017 00:00,0
17/7/2017 00:00,0
18/7/2017 00:00,0
19/7/2017 00:00,3.2
20/7/2017 00:00,9.5
21/7/2017 00:00,14.8
22/7/2017 00:00,1
23/7/2017 00:00,19
24/7/2017 00:00,0
25/7/2017 00:00,0
26/7/2017 00:00,7.3
27/7/2017 00:00,5.3
28/7/2017 00:00,3.2
29/7/2017 00:00,10.5
30/7/2017 00:00,4.2
31/7/2017 00:00,0
1/8/2017 00:00,2.1
2/8/2017 00:00,4.2
12/8/2017 00:00,0
13/8/2017 00:00,0
14/8/2017 00:00,4.2
15/8/2017 00:00,0
16/8/2017 00:00,0
17/8/2017 00:00,3.2
18/8/2017 00:00,12.6
19/8/2017 00:00,0
20/8/2017 00:00,4.2
21/8/2017 00:00,2.1
22/8/2017 00:00,0
23/8/2017 00:00,0
24/8/2017 00:00,1.1
25/8/2017 00:00,0
26/8/2017 00:00,0
27/8/2017 00:00,0
28/8/2017 00:00,0
29/8/2017 00:00,0
30/8/2017 00:00,3.1
31/8/2017 00:00,1.1
1/9/2017 00:00,0
2/9/2017 00:00,0
3/9/2017 00:00,5.2
4/9/2017 00:00,1.1
5/9/2017 00:00,2.1
6/9/2017 00:00,0
7/9/2017 00:00,3.2
8/9/2017 00:00,11.6
9/9/2017 00:00,1
10/9/2017 00:00,2.1
11/9/2017 00:00,4.2
12/9/2017 00:00,1.1
13/9/2017 00:00,6.3
14/9/2017 00:00,0
15/9/2017 00:00,2.2
16/9/2017 00:00,1
17/9/2017 00:00,0
18/9/2017 00:00,6.3
19/9/2017 00:00,0
20/9/2017 00:00,3.2
21/9/2017 00:00,3.1
22/9/2017 00:00,0
23/9/2017 00:00,1.1
24/9/2017 00:00,1
25/9/2017 00:00,1.1
26/9/2017 00:00,1.1
27/9/2017 00:00,3.1
28/9/2017 00:00,1.1
29/9/2017 00:00,8.4
30/9/2017 00:00,1
1/10/2017 00:00,2.2
2/10/2017 00:00,0
3/10/2017 00:00,0
4/10/2017 00:00,0
5/10/2017 00:00,1
6/10/2017 00:00,0
7/10/2017 00:00,1.1
8/10/2017 00:00,0
9/10/2017 00:00,0
